Isolate ID,clade
AN16-110_D3,2
AN16-149_B,2
AN16-24_S1,2
AN16-80_S,2
LNA_D1,2
LNA_D3,2
LNA-1_T,2
AN16-109_D2,2
AN16-120_B,2
AN16-120_S1,2
AN16-120_S2,2
AN16-169_S,2
AN16-169_T,2
AN16-160_D1,2
AN17-38_T2,2
AN16-83_B,2
AN16-06_B,1
AN16-110_D1,1
AN16-110_D2,1
AN16-110_S,1
AN16-128_B,1
AN16-128_D,1
AN16-132_I,1
AN16-132_T,1
AN16-135_I,1
AN16-135_S,1
AN16-135_T1,1
AN16-135_T2,1
AN16-14_D1,1
AN16-14_D2,1
AN16-14_S1,1
AN16-14_S2,1
AN16-164_S1,1
AN16-164_S2,1
AN16-164_S3,1
AN16-23_B,1
AN16-23_D1,1
AN16-23_D2,1
AN16-23_D3,1
AN16-24_D,1
AN16-24_S2,1
AN16-24_T,1
AN16-80_D,1
AN16-80_I1,1
AN16-80_I2,1
AN16-88_D,1
AN17-01-A_B,1
AN17-01-A_S,1
AN17-01-A_T,1
LNA-2_T1,1
LNA-2_T2,1
AN16-175_T,1
AN16-109_D1,1
AN16-122_S,1
AN16-122_T1,1
AN16-122_T2,1
AN16-165_S,1
AN16-77_T,1
AN16-86-1_T,1
AN17-18_I,1
AN17-18_S,1
AN17-20_S,1
AN16-155_B,1
AN16-155_S,1
AN16-160_D2,1
AN17-38_T1,1
FL16-03_I,1
FL16-06_I,1
FL16-11-MKK_I,1
AN16-171_B,1
AN16-83_D,1
AN16-83_T1,1
AN16-83_T2,1
