	AN16-110_S	AN16-24_S2	AN16-77_T	AN16-14_D1	AN16-80_I2	AN16-164_S2	AN16-23_D2	AN16-128_B	AN16-135_T2	AN16-110_D3	AN16-122_S	AN16-80_D	AN16-83_T2	AN16-06_B	AN16-14_S2	AN16-128_D1	AN16-83_B	AN16-110_D2	AN16-169_S	AN17-01-A_T	AN16-165_S	AN16-23_D3	AN17-18_I	AN16-120_S1	LNA_D3	FL16-06_I	AN17-38_T2	AN16-135_S	AN16-23_B	LNA-2_T1	AN16-164_S3	AN16-109_D2	AN16-122_T2	AN16-160_D1	AN16-83_T1	LNA-1_T	LNA_D1	AN16-132_I	AN16-14_S1	AN16-24_D	AN16-135_T1	AN16-23_D1	AN16-83_D	AN16-175_T	AN16-80_I1	AN16-14_D2	FL16-03_I	AN16-149_B	AN16-88_D	AN16-164_S1	AN16-24_T	AN16-80_S	AN16-120_B	AN16-135_I	AN16-155_S	AN17-01-A_B	AN17-18_S	AN16-24_S1	LNA-2_T2	AN16-171_B	AN16-109_D1	AN16-122_T1	AN16-160_D2	FL16-11-MKK_I	AN16-132_T	AN17-20_S	AN16-120_S2	AN17-38_T1	AN16-86-1_T	AN16-155_B	AN17-01-A_S	AN16-169_T	AN16-110_D1
AN16-110_S	0	23	33	24	33	26	24	21	25	39	29	33	27	21	24	20	34	0	32	22	28	0	27	40	39	7	34	28	24	33	20	37	0	34	27	37	37	27	7	7	25	23	28	28	7	24	24	34	27	26	7	34	37	25	25	28	26	34	33	24	27	29	24	7	27	28	39	24	26	25	22	32	0
AN16-24_S2	23	0	15	6	15	8	6	3	7	39	11	15	9	3	6	3	34	23	32	4	10	23	9	39	39	24	34	10	6	15	6	37	23	34	9	37	37	8	24	24	7	6	10	10	24	6	6	34	8	8	24	34	37	7	7	10	8	34	15	6	9	11	0	24	8	10	38	6	8	7	4	32	23
AN16-77_T	33	15	0	15	0	17	15	12	16	48	19	0	18	12	15	12	43	33	41	13	19	33	18	49	48	34	43	19	15	0	15	46	33	43	18	46	46	18	34	34	16	15	19	19	34	15	15	43	18	17	34	43	46	16	16	19	17	43	0	15	18	20	15	34	15	19	48	15	17	16	13	41	33
AN16-14_D1	24	6	15	0	15	2	0	3	7	39	11	15	9	3	0	3	34	24	32	4	10	24	3	40	39	25	34	10	0	15	6	37	24	34	9	37	37	9	25	25	7	0	10	10	25	0	0	34	9	8	25	34	37	7	7	10	2	33	15	6	9	11	6	25	9	10	39	0	2	7	4	32	24
AN16-80_I2	33	15	0	15	0	17	15	12	16	48	19	0	18	12	15	12	43	33	41	13	19	33	18	49	48	34	43	19	15	0	15	46	33	43	18	46	46	18	34	34	16	15	19	19	34	15	15	43	18	17	34	43	46	16	16	19	17	43	0	15	18	20	15	34	15	19	48	15	17	16	13	41	33
AN16-164_S2	26	8	17	2	17	0	2	5	9	41	13	17	11	5	2	5	36	26	34	6	12	26	5	42	41	27	36	12	2	17	8	39	26	36	11	39	39	10	27	27	9	2	12	12	27	2	2	36	10	10	27	36	39	9	9	12	4	35	17	8	11	13	8	27	10	12	41	2	0	9	6	34	26
AN16-23_D2	24	6	15	0	15	2	0	3	7	39	11	15	9	3	0	3	34	24	32	4	10	24	3	40	39	25	34	10	0	15	6	37	24	34	9	37	37	9	25	25	7	0	10	10	25	0	0	34	9	8	25	34	37	7	7	10	2	33	15	6	9	11	6	25	9	10	39	0	2	7	4	32	24
AN16-128_B	21	3	12	3	12	5	3	0	0	36	8	12	6	0	3	0	31	21	29	1	7	21	6	37	36	22	31	7	3	12	3	34	21	31	6	34	34	6	22	22	0	3	7	7	22	3	3	31	6	5	22	31	34	0	0	7	5	31	12	3	6	8	3	22	6	0	36	3	5	0	1	29	21
AN16-135_T2	25	7	16	7	16	9	7	0	0	40	12	16	10	4	7	1	35	25	33	5	11	25	10	41	40	26	35	11	7	16	7	38	25	35	10	38	38	10	26	26	0	7	11	11	26	7	7	35	10	9	26	35	38	0	0	11	9	35	16	7	10	12	7	26	10	11	39	7	9	0	5	33	25
AN16-110_D3	39	39	48	39	48	41	39	36	40	0	44	48	42	36	39	36	15	39	13	37	43	39	42	45	0	40	15	43	39	48	34	2	39	15	42	2	2	42	40	40	40	38	43	43	40	39	39	15	42	41	40	15	2	40	40	43	41	15	48	39	42	44	39	40	42	43	44	39	41	39	37	13	39
AN16-122_S	29	11	19	11	19	13	11	8	12	44	0	19	14	8	11	8	39	29	37	9	15	29	14	45	44	30	39	15	11	19	11	42	29	39	14	42	41	14	30	30	12	10	14	9	30	11	11	39	14	13	30	39	42	12	12	15	13	39	19	11	14	0	11	30	14	15	44	11	13	12	9	37	29
AN16-80_D	33	15	0	15	0	17	15	12	16	48	19	0	18	12	15	12	43	33	41	13	19	33	18	49	48	34	43	19	15	0	15	46	33	43	18	46	46	18	34	34	16	15	19	19	34	15	15	43	18	17	34	43	46	16	16	19	17	43	0	15	18	20	15	34	15	19	48	15	17	16	13	41	33
AN16-83_T2	27	9	18	9	18	11	9	6	10	42	14	18	0	6	9	6	37	27	35	7	13	27	12	43	42	28	37	1	9	18	9	40	27	37	0	40	40	12	28	28	10	9	1	13	28	9	9	37	12	11	28	37	40	10	10	13	11	37	18	9	0	14	9	28	11	13	42	9	11	10	7	35	27
AN16-06_B	21	3	12	3	12	5	3	0	4	36	8	12	6	0	3	0	31	21	29	1	7	21	6	37	36	22	31	7	3	12	3	34	21	31	6	34	34	6	22	22	4	3	7	7	22	3	3	31	6	5	22	31	34	4	4	7	5	31	12	3	6	8	3	22	6	7	36	3	5	4	1	29	21
AN16-14_S2	24	6	15	0	15	2	0	3	7	39	11	15	9	3	0	3	34	24	32	4	10	24	3	40	39	25	34	10	0	15	6	37	24	34	9	37	37	9	25	25	7	0	10	10	25	0	0	34	9	8	25	34	37	7	7	10	2	33	15	6	9	11	6	25	9	10	39	0	2	7	4	32	24
AN16-128_D1	20	3	12	3	12	5	3	0	1	36	8	12	6	0	3	0	31	20	29	1	7	20	6	37	36	21	31	7	3	12	3	34	20	31	6	34	34	6	21	21	1	3	7	7	21	3	3	31	6	5	21	31	34	1	1	7	5	31	12	3	6	8	3	21	6	0	36	3	5	1	1	29	20
AN16-83_B	34	34	43	34	43	36	34	31	35	15	39	43	37	31	34	31	0	34	4	32	38	34	37	40	15	35	0	38	34	43	29	13	34	0	37	13	13	37	35	35	35	33	38	38	35	34	34	0	37	36	35	0	13	35	35	38	36	0	43	34	37	39	34	35	37	38	39	34	36	34	32	4	34
AN16-110_D2	0	23	33	24	33	26	24	21	25	39	29	33	27	21	24	20	34	0	32	22	28	0	27	40	39	7	34	28	24	33	20	37	0	34	27	37	37	27	7	7	25	23	28	28	7	24	24	34	27	26	7	34	37	25	25	28	26	34	33	24	27	29	24	7	27	28	39	24	26	25	22	32	0
AN16-169_S	32	32	41	32	41	34	32	29	33	13	37	41	35	29	32	29	4	32	0	30	36	32	35	38	13	33	4	36	32	41	27	11	32	4	35	11	11	35	33	33	33	31	36	36	33	32	32	4	35	34	33	4	11	33	33	36	34	4	41	32	35	37	32	33	35	36	37	32	34	32	30	0	32
AN17-01-A_T	22	4	13	4	13	6	4	1	5	37	9	13	7	1	4	1	32	22	30	0	8	22	7	38	37	23	32	8	4	13	4	35	22	32	7	35	35	7	23	23	5	4	8	8	23	4	4	32	7	6	23	32	35	5	5	8	6	32	13	4	7	9	4	23	7	8	37	4	6	5	0	30	22
AN16-165_S	28	10	19	10	19	12	10	7	11	43	15	19	13	7	10	7	38	28	36	8	0	28	13	44	43	29	38	14	10	19	10	41	28	38	13	41	41	13	29	29	11	10	14	14	29	10	10	38	13	12	29	38	41	11	11	0	12	38	19	10	13	15	10	29	13	14	43	10	12	11	8	36	28
AN16-23_D3	0	23	33	24	33	26	24	21	25	39	29	33	27	21	24	20	34	0	32	22	28	0	27	40	39	7	34	28	24	33	20	37	0	34	27	37	37	27	7	7	25	23	28	28	7	24	24	34	27	26	7	34	37	25	25	28	26	34	33	24	27	29	24	7	27	28	39	24	26	25	22	32	0
AN17-18_I	27	9	18	3	18	5	3	6	10	42	14	18	12	6	3	6	37	27	35	7	13	27	0	43	42	28	37	13	3	18	9	40	27	37	12	40	40	12	28	28	10	3	13	13	28	3	3	37	12	11	28	37	40	10	10	13	0	36	18	9	12	14	9	28	12	13	42	3	5	10	7	35	27
AN16-120_S1	40	39	49	40	49	42	40	37	41	45	45	49	43	37	40	37	40	40	38	38	44	40	43	0	45	41	40	44	40	49	29	43	40	40	43	43	43	43	41	41	41	39	44	44	41	40	40	40	43	42	41	40	43	41	41	44	42	40	49	40	43	45	40	41	43	44	0	40	42	41	38	38	40
LNA_D3	39	39	48	39	48	41	39	36	40	0	44	48	42	36	39	36	15	39	13	37	43	39	42	45	0	40	15	43	39	48	34	2	39	15	42	2	2	42	40	40	40	38	43	43	40	39	39	15	42	41	40	15	2	40	40	43	41	15	48	39	42	44	39	40	42	43	44	39	41	39	37	13	39
FL16-06_I	7	24	34	25	34	27	25	22	26	40	30	34	28	22	25	21	35	7	33	23	29	7	28	41	40	0	35	29	25	34	21	38	7	35	28	38	38	28	0	0	26	24	29	29	0	25	25	35	28	27	0	35	38	26	26	29	27	35	34	25	28	30	25	0	28	29	40	25	27	26	23	33	7
AN17-38_T2	34	34	43	34	43	36	34	31	35	15	39	43	37	31	34	31	0	34	4	32	38	34	37	40	15	35	0	38	34	43	29	13	34	0	37	13	13	37	35	35	35	33	38	38	35	34	34	0	37	36	35	0	13	35	35	38	36	0	43	34	37	39	34	35	37	38	39	34	36	34	32	4	34
AN16-135_S	28	10	19	10	19	12	10	7	11	43	15	19	1	7	10	7	38	28	36	8	14	28	13	44	43	29	38	0	10	19	10	41	28	38	1	41	41	13	29	29	11	10	0	14	29	10	10	38	13	12	29	38	41	11	11	14	12	38	19	10	1	15	10	29	12	14	43	10	12	11	8	36	28
AN16-23_B	24	6	15	0	15	2	0	3	7	39	11	15	9	3	0	3	34	24	32	4	10	24	3	40	39	25	34	10	0	15	6	37	24	34	9	37	37	9	25	25	7	0	10	10	25	0	0	34	9	8	25	34	37	7	7	10	2	33	15	6	9	11	6	25	9	10	39	0	2	7	4	32	24
LNA-2_T1	33	15	0	15	0	17	15	12	16	48	19	0	18	12	15	12	43	33	41	13	19	33	18	49	48	34	43	19	15	0	15	46	33	43	18	46	46	18	34	34	16	15	19	19	34	15	15	43	18	17	34	43	46	16	16	19	17	43	0	15	18	20	15	34	15	19	48	15	17	16	13	41	33
AN16-164_S3	20	6	15	6	15	8	6	3	7	34	11	15	9	3	6	3	29	20	27	4	10	20	9	29	34	21	29	10	6	15	0	32	20	29	9	32	32	9	21	21	7	6	10	10	21	6	6	29	9	0	21	29	32	7	7	10	8	29	15	6	9	11	6	21	9	10	28	6	8	7	4	27	20
AN16-109_D2	37	37	46	37	46	39	37	34	38	2	42	46	40	34	37	34	13	37	11	35	41	37	40	43	2	38	13	41	37	46	32	0	37	13	40	0	0	40	38	38	38	36	41	41	38	37	37	13	40	39	38	13	0	38	38	41	39	13	46	37	40	42	37	38	40	41	42	37	39	37	35	11	37
AN16-122_T2	0	23	33	24	33	26	24	21	25	39	29	33	27	21	24	20	34	0	32	22	28	0	27	40	39	7	34	28	24	33	20	37	0	34	27	37	37	27	7	7	25	23	28	28	7	24	24	34	27	26	7	34	37	25	25	28	26	34	33	24	27	29	24	7	27	28	39	24	26	25	22	32	0
AN16-160_D1	34	34	43	34	43	36	34	31	35	15	39	43	37	31	34	31	0	34	4	32	38	34	37	40	15	35	0	38	34	43	29	13	34	0	37	13	13	37	35	35	35	33	38	38	35	34	34	0	37	36	35	0	13	35	35	38	36	0	43	34	37	39	34	35	37	38	39	34	36	34	32	4	34
AN16-83_T1	27	9	18	9	18	11	9	6	10	42	14	18	0	6	9	6	37	27	35	7	13	27	12	43	42	28	37	1	9	18	9	40	27	37	0	40	40	12	28	28	10	9	1	13	28	9	9	37	12	11	28	37	40	10	10	13	11	37	18	9	0	14	9	28	11	13	42	9	11	10	7	35	27
LNA-1_T	37	37	46	37	46	39	37	34	38	2	42	46	40	34	37	34	13	37	11	35	41	37	40	43	2	38	13	41	37	46	32	0	37	13	40	0	0	40	38	38	38	36	41	41	38	37	37	13	40	39	38	13	0	38	38	41	39	13	46	37	40	42	37	38	40	41	42	37	39	37	35	11	37
LNA_D1	37	37	46	37	46	39	37	34	38	2	41	46	40	34	37	34	13	37	11	35	41	37	40	43	2	38	13	41	37	46	32	0	37	13	40	0	0	40	38	38	38	36	41	40	38	37	37	13	40	39	38	13	0	38	38	41	39	13	46	37	40	41	37	38	40	41	42	37	39	37	35	11	37
AN16-132_I	27	8	18	9	18	10	9	6	10	42	14	18	12	6	9	6	37	27	35	7	13	27	12	43	42	28	37	13	9	18	9	40	27	37	12	40	40	0	28	28	10	9	13	13	28	9	9	37	0	11	28	37	40	10	10	13	11	37	18	9	12	14	9	28	0	13	41	9	11	10	7	35	27
AN16-14_S1	7	24	34	25	34	27	25	22	26	40	30	34	28	22	25	21	35	7	33	23	29	7	28	41	40	0	35	29	25	34	21	38	7	35	28	38	38	28	0	0	26	24	29	29	0	25	25	35	28	27	0	35	38	26	26	29	27	35	34	25	28	30	25	0	28	29	40	25	27	26	23	33	7
AN16-24_D	7	24	34	25	34	27	25	22	26	40	30	34	28	22	25	21	35	7	33	23	29	7	28	41	40	0	35	29	25	34	21	38	7	35	28	38	38	28	0	0	26	24	29	29	0	25	25	35	28	27	0	35	38	26	26	29	27	35	34	25	28	30	25	0	28	29	40	25	27	26	23	33	7
AN16-135_T1	25	7	16	7	16	9	7	0	0	40	12	16	10	4	7	1	35	25	33	5	11	25	10	41	40	26	35	11	7	16	7	38	25	35	10	38	38	10	26	26	0	7	11	11	26	7	7	35	10	9	26	35	38	0	0	11	9	35	16	7	10	12	7	26	10	11	39	7	9	0	5	33	25
