idx,idy,ntdiff,carcass.x,geog.x,Cluster.x,sample.type.x,day.x,month.x,year.x,species.x,GPS.determined.from.map.x,lat.x,long.x,ward.x,village.x,subvillage.x,Status.x,Misidentification.x,Unexpected.genome.Size.x,Median.insert.size.x,Mean.coverage.x,Number.of.reads.x,X..contigs...0.bp.x,X..contigs...1000.bp.x,Total.length....0.bp..x,Total.length....1000.bp..x,X..contigs.x,largest.contig.x,total.length.x,GC...MicrobesNG..x,GC...Qualimap..x,N50.x,N57.x,Number.of.reads.1.x,mapped.reads.x,percentage.mapped.reads.x,duplicated.reads.x,duplication.rate.x,mean.coverage.x,carcass.y,geog.y,Cluster.y,sample.type.y,day.y,month.y,year.y,species.y,GPS.determined.from.map.y,lat.y,long.y,ward.y,village.y,subvillage.y,Status.y,Misidentification.y,Unexpected.genome.Size.y,Median.insert.size.y,Mean.coverage.y,Number.of.reads.y,X..contigs...0.bp.y,X..contigs...1000.bp.y,Total.length....0.bp..y,Total.length....1000.bp..y,X..contigs.y,largest.contig.y,total.length.y,GC...MicrobesNG..y,GC...Qualimap..y,N50.y,N57.y,Number.of.reads.1.y,mapped.reads.y,percentage.mapped.reads.y,duplicated.reads.y,duplication.rate.y,mean.coverage.y
AN16-110_S,AN16-24_S2,23,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-24,Central,Single case,swab,26,9,2016,cow,NA,-3.09357,35.06333,Endulen,Nasiporiong,near Kilima Matiti,higher contig numbers,NA,NA,86,31.8,857314,2252,1147,5337575,4821876,1597,36807,5140727,35.4,38.37%,5913,2639,"1,545,379","1,413,715",91.48%,"834,902",77.58%,25.9
AN16-110_S,AN16-77_T,33,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-77,North,Single case,tissue,9,10,2016,sheep,NA,-2.54811,35.22633,Olbalbal,Meshili,Idonyo Ogol,NA,NA,NA,110,253.1,5898565,289,25,5570417,5450219,86,1770254,5486779,35.28,36.50%,1161863,263184,"10,608,748","9,323,523",87.89%,"6,903,121",70.57%,215.2
AN16-110_S,AN16-14_D1,24,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-14,Central,C2,soil,16,9,2016,cow,yes,-3.038225,35.01837,Endulen,Esinoni,Loongurioto (Olduvai gorge); temporary bomas (Ronjo),NA,NA,NA,121,225.6,4905967,79,26,5465169,5446021,34,1161867,5452206,35.11,37.63%,899576,263342,"8,539,462","7,475,383",87.54%,"5,469,062",67.99%,182
AN16-110_S,AN16-80_I2,33,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-80,Central,C1,insect,10,5,2016,sheep,yes,-2.994935,35.095446,Endulen,NA,"Olduvai-Mazingira, Magumu",new sequence,NA,6.46213,107,59.2,2078490,5252,1404,8526738,6694363,2891,63524,7713463,36.47,37.72%,7607,2005,"3,615,174","2,966,283",82.05%,"1,945,883",77.69%,61.2
AN16-110_S,AN16-164_S2,26,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-164,Central,Single case,swab,25,1,2017,sheep,NA,-3.03004,35.16133,Endulen,NA,"Olduvai, Kiloki",higher contig numbers,NA,NA,95,36.3,899495,924,559,5353564,5197736,666,79430,5270899,35.23,37.81%,16225,8042,"1,695,475","1,540,653",90.87%,"867,446",69.96%,29.9
AN16-110_S,AN16-23_D2,24,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-23,Central,C2,soil,16,9,2016,cow,yes,-3.038225,35.01837,Endulen,Esinoni,Loongumot (Olduvai gorge),NA,NA,NA,105,197.9,4678130,86,25,5473130,5448866,35,1769232,5455111,35.12,37.90%,1161867,263317,"8,346,973","7,337,234",87.90%,"5,418,592",72.72%,163
AN16-110_S,AN16-128_B,21,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-128,Central,Single case,blood,19,8,2016,sheep,yes,-2.99792,35.084373,Endulen,Nasiporiong,Ngoyapase,slightly higher contig numbers,NA,NA,84,76.1,2153106,504,209,5544941,5457585,232,233026,5474370,35.11,37.38%,43618,25263,"3,869,420","3,441,063",88.93%,"2,265,284",78.63%,62.6
AN16-110_S,AN16-135_T2,25,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-135,Central,Single case,tissue,20,10,2016,sheep,NA,-3.06807,35.04067,Endulen,Nasiporiong,NA,NA,NA,NA,86,84.7,2314629,221,143,5434812,5399169,166,340003,5414834,35.16,37.94%,97153,41317,"4,042,215","3,730,970",92.30%,"2,559,265",82.19%,69.8
AN16-110_S,AN16-110_D3,39,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-110,Central,Single case,soil,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,slightly higher contig numbers,NA,NA,88,32.5,888114,683,468,5453605,5345397,553,86799,5402572,35.32,37.80%,19991,10188,"1,572,627","1,353,452",86.06%,"773,334",79.63%,25.8
AN16-110_S,AN16-122_S,29,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-122,East,Single case,swab,20,1,2017,sheep,yes,-2.934868,35.511649,Olbalbal,Meshili,"Engonini, Ngurumani",NA,NA,NA,112,141.4,3210413,67,26,5462518,5447824,32,1769271,5452156,35.11,37.99%,596389,263317,"5,702,405","4,859,480",85.22%,"3,413,702",69.02%,112.4
