idx,idy,ntdiff,carcass.x,carcass.y,Cluster.x,Cluster.y,species.x,species.y,geog.x,geog.y,ascale,value,withinorbetween,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-155_S,3,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,carcass,carcass,Different Carcasses,,,,Median,Median¨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-155_B,3,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,carcass,carcass,Different Carcasses,,,Different Carcasses,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-14_S1,19,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,carcass,carcass,Different Carcasses,,,Different Cluster,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-14_D1,5,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,carcass,carcass,Different Carcasses,,,Different Species,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-155_S,25,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,carcass,carcass,Different Carcasses,,,dUnlinked Cases,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-155_B,25,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,carcass,carcass,Different Carcasses,,,Linked Cases,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-14_S1,31,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,carcass,carcass,Different Carcasses,,,Same Carcass,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-14_D1,27,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,carcass,carcass,Different Carcasses,,,Same Species,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-160_D2,3,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,carcass,carcass,Different Carcasses,,,Same Cluster,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-160_D1,25,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,carcass,carcass,Different Carcasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
