snp-dists 0.7.0	AN16-110_S	AN16-24_S2	AN16-77_T	AN16-14_D1	AN16-80_I2	AN16-164_S2	AN16-23_D2	AN16-128_B	AN16-135_T2	AN16-110_D3	AN16-122_S	AN16-80_D	AN16-83_T2	AN16-06_B	AN16-14_S2	AN16-128_D1	AN16-83_B	AN16-110_D2	AN16-169_S	AN17-01-A_T	AN16-165_S	AN16-23_D3	AN17-18_I	AN16-120_S1	LNA_D3	FL16-06_I	AN17-38_T2	AN16-135_S	AN16-23_B	LNA-2_T1	AN16-164_S3	AN16-109_D2	AN16-122_T2	AN16-160_D1	AN16-83_T1	LNA-1_T	LNA_D1	AN16-132_I	AN16-14_S1	AN16-24_D	AN16-135_T1	AN16-23_D1	AN16-83_D	AN16-175_T	AN16-80_I1	AN16-14_D2	FL16-03_I	AN16-149_B	AN16-88_D	AN16-164_S1	AN16-24_T	AN16-80_S	AN16-120_B	AN16-135_I	AN16-155_S	AN17-01-A_B	AN17-18_S	AN16-24_S1	LNA-2_T2	AN16-171_B	AN16-109_D1	AN16-122_T1	AN16-160_D2	FL16-11-MKK_I	AN16-132_T	AN17-20_S	AN16-120_S2	AN17-38_T1	AN16-86-1_T	AN16-155_B	AN17-01-A_S	AN16-169_T	AN16-110_D1
AN16-110_S	0	18	24	17	24	19	17	15	15	35	21	24	20	15	17	15	30	0	28	16	21	0	19	30	35	7	30	21	17	24	18	33	0	30	20	33	33	19	7	7	15	17	21	20	7	17	17	30	19	18	7	30	33	15	15	21	19	30	24	18	20	21	18	7	19	15	30	17	19	15	16	28	0
AN16-24_S2	18	0	12	5	12	7	5	3	3	33	9	12	8	3	5	3	28	18	26	4	9	18	7	28	33	19	28	9	5	12	6	31	18	28	8	31	31	7	19	19	3	5	9	8	19	5	5	28	7	6	19	28	31	3	3	9	7	28	12	6	8	9	0	19	7	3	28	5	7	3	4	26	18
AN16-77_T	24	12	0	11	0	13	11	9	9	39	15	0	14	9	11	9	34	24	32	10	15	24	13	34	39	25	34	15	11	0	12	37	24	34	14	37	37	13	25	25	9	11	15	14	25	11	11	34	13	12	25	34	37	9	9	15	13	34	0	12	14	15	12	25	13	9	34	11	13	9	10	32	24
AN16-14_D1	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-80_I2	24	12	0	11	0	13	11	9	9	39	15	0	14	9	11	9	34	24	32	10	15	24	13	34	39	25	34	15	11	0	12	37	24	34	14	37	37	13	25	25	9	11	15	14	25	11	11	34	13	12	25	34	37	9	9	15	13	34	0	12	14	15	12	25	13	9	34	11	13	9	10	32	24
AN16-164_S2	19	7	13	2	13	0	2	4	4	34	10	13	9	4	2	4	29	19	27	5	10	19	4	29	34	20	29	10	2	13	7	32	19	29	9	32	32	8	20	20	4	2	10	9	20	2	2	29	8	7	20	29	32	4	4	10	4	29	13	7	9	10	7	20	8	4	29	2	0	4	5	27	19
AN16-23_D2	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-128_B	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-135_T2	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-110_D3	35	33	39	32	39	34	32	30	30	0	36	39	35	30	32	30	15	35	13	31	36	35	34	37	0	36	15	36	32	39	33	2	35	15	35	2	2	34	36	36	30	32	36	35	36	32	32	15	34	33	36	15	2	30	30	36	34	15	39	33	35	36	33	36	34	30	37	32	34	30	31	13	35
